ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
126;Bologna Football Club;10/03/1909;Felsinei, Rossoblu, Petroniani;BFC;Bologna;Renato Dall'Ara;http://www.bolognafc.it/;BolognaFC;46;4;118;;;;;
127;Associazione Calcio Chievo Verona;1929;Gialloblu, Mussi Volanti, Ceo;ACCV;Chievo;Marc'Antonio Bentegodi;http://www.chievoverona.it/;ACChievoVerona;48;4;118;;;;;
128;Calcio Catania;26/9/1946;Etnei, Rossoazzurri, Gli Elefanti;CC;Catania;Angelo Massimino;http://www.calciocatania.it/;Calcio_Catania;537;4;118;;;;;
129;Atalanta Bergamasca Calcio;17/10/1907;Orobici, la Dea, Nerazzurri;ABC;Atalanta;Atleti Azzurri d'Italia;http://www.atalanta.it/;Atalanta_BC;45;4;118;;;;;
130;Associazione Calcio Firenze Fiorentina ;26/8/1926;Viola, Gigliati, Fiore;ACFF;Fiorentina;Artemio Franchi;http://www.violachannel.tv;Violachannel;50;4;118;;;;;
131;Associazione Calcio Siena ;1904;Robur, Bianconeri;ACS;Siena;Artemio Franchi ;http://www.acsiena.it/;acsienaofficial;63;4;118;;;;;
132;Cagliari Calcio;30/5/1920;Casteddu, Rossoblu, Sardi;CC;Cagliari;Nereo Rocco;http://www.cagliaricalcio.net/;Cagliari_Calcio;49;4;118;;;;;
133;Unione Sportiva Citta di Palermo ;11/01/1900;Rosanero, Aquile;USCP;Palermo;Renzo Barbera;http://www.palermocalcio.it/;US_Palermo;58;4;118;;;;;
134;Genoa Cricket and Football Club ;7/9/1893;Grifone, Zena, Vecchio Balordo;GCFC;Genoa;Luigi Ferraris;http://www.genoacfc.it/;GenoaCFCtweet;725;4;118;;;;;
135;Juventus Football Club ;01/11/1987;Vecchia Signora, Bianconeri ;JFC;Juventus;Juventus Stadium;http://www.juventus.com;juventusfc ;52;4;118;;;;;
136;Associazione Calcio Milan;16/12/1899;Rossoneri, Diavolo;ACM;Milan;Giuseppe Meazza;http://www.acmilan.com/;acmilan;57;4;118;;;;;
137;Delfino Pescara 1936;1936;Biancoazzurri, Delfini;DPC;Pescara;Adriático;http://www.pescaracalcio.com/;PescaraCalcio;;4;118;;;;;
138;Torino Football Club;13/12/1906;Toro, Granata;TFC;Torino;Olimpico di Torino;http://www.torinofc.it/;TorinoFC_1906 ;;4;118;;;;;
139;Unione Calcio Sampdoria;08/01/1946;Blucerchiati,Samp;UCS;Sampdoria;Luigi Ferraris;http://www.sampdoria.it/;sampdoria ;;4;118;;;;;
140;Futebol Clube do Porto;28/09/1893;Dragões, Azuis e Brancos ;FCP;Porto;Do Dragão;http://www.fcporto.pt/;FC_Porto;797;8;178;;;;;
141;Sport Lisboa e Benfica;28/2/1904;Águias, Encarnados ;SLB;Benfica;Da Luz;http://www.slbenfica.pt/;SL_Benfica;798;8;178;;;;;
142;Sporting Clube de Braga;19/1/1921;Arsenalistas, Arcebispos;SCB;Braga;Municipal de Braga - AXA;http://www.scbraga.pt/;SCBragaOficial;1358;8;178;;;;;
143;Sporting Clube de Portugal;07/01/1906;Sportinguistas, Leões, Verde e Brancos ;SCP;Sporting Lisboa;José Alvalade;http://www.sporting.pt/;Sporting_CP;799;8;178;;;;;
144;Club Sport Marítimo;20/9/1910;Verde Rubros, Leões da Madeira;CSM;Marítimo;Dos Barreiros;http://www.csmaritimo.pt/;csmaritimosad;1753;8;178;;;;;
145;Vitória Sport Clube;22/9/1922;Vimaranenses, Branquinhos, Conquistadores;VSC;Vitória de Guimarães;D. Afonso Henriques;http://www.vitoriasc.pt/;vitoria1922gmr;1759;8;178;;;;;
146;Clube Desportivo Nacional;12/08/1910;Albinegros, Nacionalistas;CDN;Nacional;Da Madeira;http://www.cdnacional.pt/;CDNacional;1754;8;178;;;;;
147;Sporting Clube Olhanense;27/4/1912;Leões de Olhão;SCO;Olhanense;José Arcanjo;http://www.scolhanense.com/;scolhanense;1757;8;178;;;;;
148;Gil Vicente Futebol Clube;05/03/1924;Gilistas, Galos;GVFC;Gil Vicente;Cidade de Barcelos;http://www.gilvicentefc.pt/;GilVicenteFc;3307;8;178;;;;;
149;Futebol Clube Paços de Ferreira;04/05/1950;Castores;FCPF;Paços de Ferreira;Da Mata Real;http://www.fcpf.pt/;fcpf;1756;8;178;;;;;
150;Vitória Futebol Clube;20/11/1910;Sadinos, Velho Senhor ;VFC;Vitória Setúbal;Do Bonfim;http://www.vfc.pt/;v_setubal;1760;8;178;;;;;
151;Sport Clube Beira Mar;01/01/1922;Auri negros ;SCBM;Beira Mar;Municipal de Aveiro;http://www.beiramar.pt/;scbeira_mar;2296;8;178;;;;;
152;Associação Académica de Coimbra;3/11/1887;Briosa, Estudantes, Pretos;AAC;Académica;Cidade de Coimbra;http://www.academica-oaf.pt/;AAC_Briosa;1749;8;178;;;;;
153;Rio Ave Futebol Clube;05/10/1939;Vilacondenses;RAFC;Rio Ave;Do Rio Ave;http://www.rioave-fc.pt/;RioAve_fc;1758;8;178;;;;;
154;Grupo Desportivo Estoril Praia;17/5/1939;Canarinhos, Estorilistas, Equipa da Linha;GDEP;Estoril;António Coimbra da Mota;http://www.estorilpraia.pt/;GDEstorilPraia ;;8;178;;;;;
155;Moreirense Futebol Clube;1938;Moreira de Cónegos;MFC;Moreirense;Comendador Joaquim de Almeida Freitas;http://www.moreirensefc.pt/;MoreirenseFC;;8;178;;;;;
